0.0, 1008.965
0.303, 954.284
0.606, 941.654
0.909, 925.463
1.212, 887.571
1.515, 860.125
1.818, 818.94
2.121, 813.34
2.424, 783.193
2.727, 771.377
3.03, 739.41
3.333, 719.223
3.636, 700.827
3.939, 682.549
4.242, 663.331
4.545, 646.817
4.848, 607.12
5.152, 601.407
5.455, 592.767
5.758, 560.507
6.061, 546.461
6.364, 538.751
6.667, 501.594
6.97, 493.656
7.273, 492.48
7.576, 468.294
7.879, 460.822
8.182, 455.899
8.485, 474.008
8.788, 473.291
9.091, 467.734
9.394, 464.698
9.697, 474.009
10.0, 472.805
10.303, 462.956
10.606, 434.976
10.909, 418.438
11.212, 381.08
11.515, 342.912
11.818, 312.3
12.121, 297.794
12.424, 274.108
12.727, 279.489
13.03, 261.161
13.333, 260.682
13.636, 262.654
13.939, 251.335
14.242, 235.718
14.545, 231.232
14.848, 238.028
15.152, 230.859
15.455, 212.518
15.758, 213.979
16.061, 207.374
16.364, 195.514
16.667, 181.401
16.97, 189.504
17.273, 189.663
17.576, 184.195
17.879, 183.638
18.182, 153.767
18.485, 158.449
18.788, 148.233
19.091, 154.451
19.394, 134.653
19.697, 137.935
20.0, 138.296
20.303, 129.473
20.606, 124.409
20.909, 132.734
21.212, 121.643
21.515, 123.421
21.818, 111.722
22.121, 108.858
22.424, 106.083
22.727, 108.824
23.03, 85.856
23.333, 100.695
23.636, 83.273
23.939, 88.214
24.242, 95.086
24.545, 88.321
24.848, 77.14
25.152, 77.866
25.455, 76.906
25.758, 78.821
26.061, 79.557
26.364, 70.981
26.667, 73.01
26.97, 62.863
27.273, 49.624
27.576, 64.811
27.879, 69.761
28.182, 52.064
28.485, 59.399
28.788, 56.857
29.091, 62.024
29.394, 61.82
29.697, 60.959
30.0, 46.05
